id,wav_path,transcription
0,/data/project/uaspeech/audiofinal/M01_B1_D3.wav,Three
1,/data/project/uaspeech/audiofinal/M01_B3_D3.wav,Three
2,/data/project/uaspeech/audiofinal/M04_B1_D3.wav,Three
3,/data/project/uaspeech/audiofinal/M04_B3_D3.wav,Three
4,/data/project/uaspeech/audiofinal/F03_B1_D3.wav,Three
5,/data/project/uaspeech/audiofinal/F03_B3_D3.wav,Three
6,/data/project/uaspeech/audiofinal/M12_B1_D3.wav,Three
7,/data/project/uaspeech/audiofinal/M12_B3_D3.wav,Three
8,/data/project/uaspeech/audiofinal/M01_B1_D9.wav,Nine
9,/data/project/uaspeech/audiofinal/M01_B3_D9.wav,Nine
10,/data/project/uaspeech/audiofinal/M04_B1_D9.wav,Nine
11,/data/project/uaspeech/audiofinal/M04_B3_D9.wav,Nine
12,/data/project/uaspeech/audiofinal/F03_B1_D9.wav,Nine
13,/data/project/uaspeech/audiofinal/F03_B3_D9.wav,Nine
14,/data/project/uaspeech/audiofinal/M12_B1_D9.wav,Nine
15,/data/project/uaspeech/audiofinal/M12_B3_D9.wav,Nine
16,/data/project/uaspeech/audiofinal/M01_B1_D0.wav,Zero
17,/data/project/uaspeech/audiofinal/M01_B3_D0.wav,Zero
18,/data/project/uaspeech/audiofinal/M04_B1_D0.wav,Zero
19,/data/project/uaspeech/audiofinal/M04_B3_D0.wav,Zero
20,/data/project/uaspeech/audiofinal/F03_B1_D0.wav,Zero
21,/data/project/uaspeech/audiofinal/F03_B3_D0.wav,Zero
22,/data/project/uaspeech/audiofinal/M12_B1_D0.wav,Zero
23,/data/project/uaspeech/audiofinal/M12_B3_D0.wav,Zero
24,/data/project/uaspeech/audiofinal/M01_B1_D6.wav,Six
25,/data/project/uaspeech/audiofinal/M01_B3_D6.wav,Six
26,/data/project/uaspeech/audiofinal/M04_B3_D6.wav,Six
27,/data/project/uaspeech/audiofinal/F03_B1_D6.wav,Six
28,/data/project/uaspeech/audiofinal/F03_B3_D6.wav,Six
29,/data/project/uaspeech/audiofinal/M12_B1_D6.wav,Six
30,/data/project/uaspeech/audiofinal/M12_B3_D6.wav,Six
31,/data/project/uaspeech/audiofinal/M01_B1_D7.wav,Seven
32,/data/project/uaspeech/audiofinal/M01_B3_D7.wav,Seven
33,/data/project/uaspeech/audiofinal/M04_B1_D7.wav,Seven
34,/data/project/uaspeech/audiofinal/M04_B3_D7.wav,Seven
35,/data/project/uaspeech/audiofinal/F03_B1_D7.wav,Seven
36,/data/project/uaspeech/audiofinal/F03_B3_D7.wav,Seven
37,/data/project/uaspeech/audiofinal/M12_B1_D7.wav,Seven
38,/data/project/uaspeech/audiofinal/M12_B3_D7.wav,Seven
39,/data/project/uaspeech/audiofinal/M01_B1_D8.wav,Eight
40,/data/project/uaspeech/audiofinal/M01_B3_D8.wav,Eight
41,/data/project/uaspeech/audiofinal/M04_B1_D8.wav,Eight
42,/data/project/uaspeech/audiofinal/M04_B3_D8.wav,Eight
43,/data/project/uaspeech/audiofinal/F03_B1_D8.wav,Eight
44,/data/project/uaspeech/audiofinal/F03_B3_D8.wav,Eight
45,/data/project/uaspeech/audiofinal/M12_B1_D8.wav,Eight
46,/data/project/uaspeech/audiofinal/M12_B3_D8.wav,Eight
47,/data/project/uaspeech/audiofinal/M01_B1_D4.wav,Four
48,/data/project/uaspeech/audiofinal/M01_B3_D4.wav,Four
49,/data/project/uaspeech/audiofinal/M04_B1_D4.wav,Four
50,/data/project/uaspeech/audiofinal/M04_B3_D4.wav,Four
51,/data/project/uaspeech/audiofinal/F03_B1_D4.wav,Four
52,/data/project/uaspeech/audiofinal/F03_B3_D4.wav,Four
53,/data/project/uaspeech/audiofinal/M12_B1_D4.wav,Four
54,/data/project/uaspeech/audiofinal/M12_B3_D4.wav,Four
55,/data/project/uaspeech/audiofinal/M01_B1_D5.wav,Five
56,/data/project/uaspeech/audiofinal/M04_B1_D5.wav,Five
57,/data/project/uaspeech/audiofinal/M04_B3_D5.wav,Five
58,/data/project/uaspeech/audiofinal/F03_B1_D5.wav,Five
59,/data/project/uaspeech/audiofinal/F03_B3_D5.wav,Five
60,/data/project/uaspeech/audiofinal/M12_B1_D5.wav,Five
61,/data/project/uaspeech/audiofinal/M12_B3_D5.wav,Five
62,/data/project/uaspeech/audiofinal/M01_B1_D1.wav,One
63,/data/project/uaspeech/audiofinal/M01_B3_D1.wav,One
